wallet,first_buy_time_utc,first_buy_mcap_usd,n_buys,tokens_bought,eth_spent,usd_spent,tokens_held_at_window_close,current_onchain_balance,current_usd_value,status
0x24f373e93798b2d17520522bb4fed469d3b6e4fa,2026-08-31T17:41:17Z,64310.92,1,61607.4987,0.00160097,3.96,61607.4987,61607.4987,6.59,still holds
0x95d9115ed5ada9e57b8b3ff70a4ead77cf7abd81,2026-08-31T17:26:48Z,78762.96,1,59101.8591,0.001881,4.66,59101.8591,0.0,0.0,exited after window
0x37ec751e59aa9a0fe19d283ff32764d99bd22046,2026-08-31T17:26:50Z,78045.15,2,51853.7073,0.00138467,3.43,51853.7073,15606.5226,1.67,still holds
0xe7c9c958f800252aaee928707edf68849bf6d33d,2026-08-31T18:50:18Z,62456.47,1,45487.4478,0.00114798,2.84,45487.4478,45487.4478,4.87,still holds
0x5e8ab22eb04ce05cab36322125a1046dfdcacbd7,2026-08-31T18:03:38Z,67007.16,1,43746.7723,0.00118449,2.93,43746.7723,0.0,0.0,exited after window
0x6aedda33ea76c4f9e3aab46601a4eba508a3f07b,2026-08-31T17:30:17Z,54251.22,2,43498.1776,0.001,2.47,43498.1776,71013.1397,7.6,still holds
0x2778db72f318e359cdf5c7e0305c04b840d6b4c1,2026-08-31T17:55:47Z,84744.19,1,43366.1539,0.001485,3.68,43366.1539,43366.1539,4.64,still holds
0x9dd1b890a828f756a53702cdd3ca390d826c3252,2026-08-31T21:13:08Z,113378.55,1,43218.3968,0.00198,4.9,43218.3968,43218.3968,4.62,still holds
0xa2dd202debab968ee2b76be79f13748d2c1d5975,2026-08-31T17:32:01Z,60897.08,1,39739.4016,0.00097788,2.42,39739.4016,54476.4181,5.83,still holds
0xdf47e166b4a695e65dfe4845e6e028eeabcb0838,2026-08-31T21:13:08Z,113313.4,1,35018.8238,0.00160342,3.97,35018.8238,0.0,0.0,exited after window
0x6d1d5162a413584cf3bad9fa2b896c19e8574d0b,2026-08-31T17:56:21Z,85597.44,1,34040.8782,0.00117741,2.91,34040.8782,34040.8782,3.64,still holds
0x0323125731e152a1be31d9e0bfde3a8b151bf663,2026-08-31T21:05:48Z,109197.97,2,31616.9553,0.00138975,3.44,31616.9553,31616.9553,3.38,still holds
0x61d0f169c9f2021a27aab6892fd498ba106417a1,2026-08-31T17:26:11Z,81485.01,1,30067.1194,0.00099,2.45,30067.1194,30067.1194,3.22,still holds
0xd3825d170d866711cbe4eb19edc447e9de5330d4,2026-08-31T17:26:15Z,82189.97,1,29809.2301,0.00099,2.45,29809.2301,0.0,0.0,exited after window
0x38f756cb43bf30bf47ff75765f9966e4b8dfbd44,2026-08-31T17:26:18Z,82442.36,1,29717.9717,0.00099,2.45,29717.9717,0.0,0.0,exited after window
0xaa172832394106f185cc4a5ce63042f298c5a261,2026-08-31T17:25:23Z,75261.15,1,26519.5757,0.0008065,2.0,26519.5757,0.0,0.0,exited after window
0xeee3d35256e669f3f6967b44ad7a6dffda5b128b,2026-08-31T17:59:39Z,62343.62,2,25006.5237,0.00063,1.56,25006.5237,25006.5237,2.68,still holds
0x32e394b15210507edb552a9226a209f936cd2e64,2026-08-31T17:40:57Z,63604.39,1,22837.5937,0.00058695,1.45,22837.5937,22837.5937,2.44,still holds
0x249e8596c0cb7fba7ce056a9ed3e99a89bbc707c,2026-08-31T17:50:05Z,77483.27,1,22709.5117,0.00071102,1.76,22709.5117,0.0,0.0,exited after window
0xa89cac8ab68240d66fd6567f80696d2edc39cd2e,2026-08-31T17:24:50Z,102608.81,1,22375.1824,0.00092772,2.3,22375.1824,22375.1824,2.39,still holds
0x2544d3e5a1aef05b062257aed583c4c748b3d54c,2026-08-31T17:39:42Z,76787.0,1,21191.908,0.00065754,1.63,21191.908,21191.908,2.27,still holds
0xf890cda5644cd6d5e3bc1f4e4bdc94433d7dc53c,2026-08-31T17:29:44Z,59411.7,1,20805.8422,0.00049949,1.24,20805.8422,0.0,0.0,exited after window
0x970a9c268f11f862c4ca6930d857ad904f04e3e7,2026-08-31T17:24:53Z,101297.91,1,19202.8858,0.00078602,1.95,19202.8858,0.0,0.0,exited after window
0xdd7d280115a218dd6df5f8662897d314103eaee0,2026-08-31T17:21:28Z,58297.22,1,18610.0192,0.00043839,1.08,18610.0192,0.0,0.0,exited after window
0x0ff7d3d4f59acfe0480e37fd727415c6b5af72a9,2026-08-31T17:23:49Z,74672.57,1,17488.3902,0.00052769,1.31,17488.3902,17488.3902,1.87,still holds
0x6e0448202da21409feeb010698c11b42e6cf7abe,2026-08-31T17:37:11Z,67687.49,1,17377.158,0.00047528,1.18,17377.158,6126.6189,0.66,still holds
0x1b27c0f8a7a7cec5d8ca71c8261d97f73bf1aa20,2026-08-31T20:41:58Z,78926.32,1,16458.4621,0.0005249,1.3,16458.4621,16458.4621,1.76,still holds
0xd2430c79b0dcbdfc092120c89eae81126331caf6,2026-08-31T17:24:02Z,70562.12,1,14762.989,0.00042093,1.04,14762.989,0.0,0.0,exited after window
0xbf8a165cb90fa1b8b4dfd318d93913606f374fc9,2026-08-31T17:26:15Z,82167.08,1,14712.3159,0.00048848,1.21,14712.3159,0.0,0.0,exited after window
0xa6633276d9ccbf405640ae9bf79a8330de202db0,2026-08-31T17:27:12Z,84054.94,1,14282.1983,0.00048509,1.2,14282.1983,14282.1983,1.53,still holds
0xb50a4d9bf4917ef69200b375f8a8a0dae2694225,2026-08-31T20:29:52Z,75305.35,1,13758.5233,0.00041866,1.04,13758.5233,0.0,0.0,exited after window
0x2ca5dbfd0b8c2416412a3c1dc37b7be18056deac,2026-08-31T17:24:45Z,93935.89,1,13428.8438,0.00050972,1.26,13428.8438,0.0,0.0,exited after window
0x21f56c1cc64d44ace6c0d70924f66637ff355e03,2026-08-31T19:31:46Z,84290.29,1,13258.016,0.00045157,1.12,13258.016,304.6481,0.03,still holds
0x9425d1cb18a58f1c3806db56f65ffbfc3c737500,2026-08-31T17:24:39Z,90672.06,1,13201.3071,0.00048368,1.2,13201.3071,13201.3071,1.41,still holds
0x846882c49120529fe32d2d6699c586148cd04049,2026-08-31T17:25:06Z,89914.86,1,13168.5152,0.00047845,1.18,13168.5152,13168.5152,1.41,still holds
0xab2aeb3a472f3505a1740eb18ba77c18772fee5c,2026-08-31T19:24:06Z,81825.15,1,13074.0226,0.00043228,1.07,13074.0226,56.9895,0.01,still holds
0xee2f37b0b3502b0f6b7f5f1f9bd27a65c4c8ed90,2026-08-31T20:43:09Z,78585.57,1,12615.5427,0.0004006,0.99,12615.5427,3153.8857,0.34,still holds
0xc0a633de076ad42476aa27b90b34ccac747b5c47,2026-08-31T17:25:05Z,93543.05,1,12433.8995,0.00046999,1.16,12433.8995,12433.8995,1.33,still holds
0xe3cdca81fc3cf2e23fa4806dbbecd9146b051835,2026-08-31T17:24:53Z,100028.15,1,12276.0837,0.00049619,1.23,12276.0837,12276.0837,1.31,still holds
0x84e86b9a8d11d3fe1f365c127cccb1a097d903cc,2026-08-31T17:55:56Z,84773.6,1,11252.1374,0.00038544,0.95,11252.1374,11252.1374,1.2,still holds
