wallet,first_buy_time,first_buy_time_utc,first_buy_mcap_usd,last_sell_time,last_sell_time_utc,n_buys,n_sells,sol_in,sol_out,tokens_bought,tokens_sold,tokens_still_held,realized_pnl_sol,realized_pnl_usd,hold_minutes,sold_out,n_trades_total,bought_before_crossing
FCgDhFHrwS5M6LQrKt1TJ21YpF1t8Dx4KxNytbMT2KVN,1786829372,2026-08-15T21:29:32Z,33317.52751745479,1787075361,2026-08-18T17:49:21Z,4,23,5.439279043000001,8.312134448,3057244.7212594803,3057244.72125948,4.656612873077393e-10,2.872855404999999,216.78566886129988,4099.82,True,27,True
GG33KgzDhbsCLzxwVpzJ5Pt2ubP5FyfDk8beZ8hXkwvB,1786829365,2026-08-15T21:29:25Z,33145.12206283405,1787075361,2026-08-18T17:49:21Z,4,23,5.520734385000001,8.313969392000002,3152302.28712843,3152302.2871284294,4.656612873077393e-10,2.793235007,210.77751362821996,4099.93,True,27,True
8JS3bkVtpQ2b1eTBtsadyQ7TkE7yxfdb8CpDa9zqwAe2,1786829377,2026-08-15T21:29:37Z,33490.37972381043,1787075361,2026-08-18T17:49:21Z,4,23,5.082222252,7.825440263,2933626.382950141,2933626.3829501416,0.0,2.7432180109999993,207.00323111005994,4099.73,True,27,True
C4eNLxxC7XLUivghMi35YUeSfvACgnvKB18115uPUqjg,1786828864,2026-08-15T21:21:04Z,33297.66326185771,1787169620,2026-08-19T20:00:20Z,17,13,15.507817839999998,17.953265604,9287561.791840686,9287561.791840684,1.862645149230957e-09,2.445447764000002,184.53348827144015,5679.27,True,30,True
GjGhvk8AdrQQnyhfGcaF3TNLo8tngc42QELQMoBkTGaD,1786828853,2026-08-15T21:20:53Z,26246.54427795608,1787494508,2026-08-23T14:15:08Z,5,11,0.26283928,2.659940583,363494.819281266,365091.3590216669,0.0,2.3971013030000003,180.88526432438002,11094.25,True,16,True
6KsuesQQGfqZcqEPBKXgT5iwvZHhUgf6uvtuzQNigxgK,1786828872,2026-08-15T21:21:12Z,38644.824842441325,1787077219,2026-08-18T18:20:19Z,14,19,18.373996445000003,20.684977097,8596972.579221742,8596972.579221739,3.725290298461914e-09,2.3109806520000005,174.38659999992,4139.12,False,33,True
UGfQVLpznwXaXCPfobLzVECmZuF9WSj1cmGKry11piL,1786829311,2026-08-15T21:28:31Z,33515.44439128716,1786844658,2026-08-16T01:44:18Z,2,1,2.0020592799999997,3.84734964,3289902.28298112,3289902.28298112,0.0,1.8452903600000004,139.2456105656,255.78,True,3,True
H75xFpTZVYVzamJrPQHkbGqdWpq4zsZzUiW7L7U7GfQ8,1786828896,2026-08-15T21:21:36Z,50660.320456854264,1787077219,2026-08-18T18:20:19Z,15,19,19.633257851,21.335731125,6367494.919747199,6367494.919747197,1.862645149230957e-09,1.7024732739999995,128.46863325603994,4138.72,False,34,True
qBeNBdXyMMPwauRBG2by1WVo3Y5uv7RteKGE25yjKW2,1786839708,2026-08-16T00:21:48Z,41618.633671405456,1786841440,2026-08-16T00:50:40Z,2,1,4.30203928,5.846439884,5683750.379800254,5683750.379800254,0.0,1.544400604,116.54046957783999,28.87,True,3,True
CbpnbXAD9PUAwVcYjHY96qooq6eNnoLiZzif766gqLPH,1786828897,2026-08-15T21:21:37Z,51591.38890722166,1787164431,2026-08-19T18:33:51Z,30,11,146.107814344,147.58236477100002,6834121.367716431,6834121.367716433,0.0,1.474550427000001,111.26957522142006,5592.23,True,41,True
