wallet,trades,tokens_bought,tokens_sold,realized_pnl_eth,realized_pnl_usd,implied_balance,onchain_balance,balance_delta,remaining_tokens,unrealized_pnl_usd,still_holding,first_action_sell,first_buy_mcap_usd,price_block,price_usd,paths,balance_match,boundary_balance,boundary_delta,raw_net
0x6e3bbe067820e8c048e52fe43abe4080be656db5,6,23229568.738254346,15600891.759533789,0.4536098467035183,802.7624081072956,7628676.978720557,0.0,-7628676.978720557,7628676.978720558,0.0,False,False,183776.74342525078,51165960,0.2563271633796273,single,False,7628676.978720558,9.313225746154785e-10,7628676.978720558
0xd1039c6fa0da0f38c60a03748e225dd4c42f398f,12,6444757.020050261,6444757.020050261,0.4435036704406774,784.8773060697785,0.0,0.0,0.0,0,0.0,False,False,5980.753193564623,51165960,0.2563271633796273,single,True,0.0,0.0,-9.313225746154785e-10
0x5843743ab100d5419f8b8162a9a5e43a0525993b,3,19609624.602223244,19609624.602223244,0.43711062625906216,773.5634080588208,0.0,0.0,0.0,0,0.0,False,False,4113.445839144001,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
0xa2f42d861782b5d79d36762abb8274873aaaeccc,5,5341028.253631518,4005771.190223638,0.43489991124657573,769.6510615346888,1335257.0634078803,0.0,-1335257.0634078803,1335257.0634078793,0.0,False,False,131060.07327421386,51165960,0.2563271633796273,single,False,1335257.0634078793,-9.313225746154785e-10,1335257.0634078803
0xd2b67f43cfe515718fa52fe73501150956bb9783,12,6191472.223115583,6191472.223115583,0.4338000547350874,767.7046234929416,0.0,0.0,0.0,1.862645149230957e-09,0.0,False,False,6225.417758559824,51165960,0.2563271633796273,single,True,0.0,0.0,1.862645149230957e-09
0x28d52ce74cd74fbde12e7f5b529c0657ca1ada3e,3,11134908.119251149,11134908.119251149,0.4314470021799466,763.5403793758986,0.0,0.0,0.0,0,0.0,False,False,19668.132415711592,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
0x49d10829c285feff91406ede1e411f0fa95e62f7,12,5952830.8140036855,5952830.8140036855,0.42289550642702195,748.4066264967995,0.0,0.0,0.0,0,0.0,False,False,6474.986831263529,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
0x82370d6c5a04e0812bcd7877cf5db10acd894cca,12,5619930.977233197,5619930.977233197,0.4056927342944498,717.962536970033,0.0,0.0,0.0,0,0.0,False,False,6858.536392272533,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
0x9b4119b5728f5db6aef0f4cbe7e65cc62dab1be4,12,5838651.158037331,5838651.158037331,0.39875390013725476,705.6827435352848,0.0,0.0,0.0,0,0.0,False,False,6601.610558006072,51165960,0.2563271633796273,single,True,0.0,0.0,-1.3969838619232178e-09
0x29a692e11cf2f3a37b347c2c42f90f2cf3b1601d,12,9034302.48798969,9034302.48798969,0.3958536497881804,700.5501125501846,0.0,1e-18,1e-18,0,2.5632716337962733e-19,True,False,9696.50275125761,51165960,0.2563271633796273,single,True,1e-18,1e-18,-4.656612873077393e-10
0xfcb99f54e4b85aafebaa31564408ec87626e1f44,3,6794270.656768748,6794270.656768748,0.3900758704081658,690.3250609506221,0.0,0.0,0.0,0,0.0,False,False,3005.306500071272,51165960,0.2563271633796273,single,True,0.0,0.0,0.0
